Bin186ACT1: k141_891541_8 
Bin186ACT2: k141_3644244_8 
Bin186ACT3: k141_2206400_4 
Bin186ACT4: k141_4058708_5 
Bin186ACT5: k141_2636327_1 

Bin204ACT1: k141_564073_6 
Bin204ACT2: k141_440294_5 
Bin204ACT3: k141_613939_46 
Bin204ACT4: k141_828456_7 
Bin204ACT5: k141_1376318_14 
Bin204ACT6: k141_1400380_4 

Bin229ACT1: k141_4483577_40 
Bin229ACT2: k141_616716_4 
Bin229ACT3: k141_646910_11 
Bin229ACT4: k141_2589351_9 

Bin342ACT1: k141_2203214_4 
Bin342ACT2: k141_2180901_1 
Bin342ACT3: k141_1177450_2 
Bin342ACT4: k141_710711_9 
Bin342ACT5: k141_715742_4 

Bin485ACT1: k141_1816279_5 
Bin485ACT2: k141_3126999_2 
Bin485ACT3: k141_599750_7 
Bin485ACT4: k141_3779622_6 

Bin035ACT1: k141_564073_6 
Bin035ACT2: k141_613939_46 
Bin035ACT3: k141_828456_7 
Bin035ACT4: k141_440294_5 
Bin035ACT5: k141_1400380_4 
Bin035ACT6: k141_1376318_14 

Bin125ACT1: k141_3126999_2 
Bin125ACT2: k141_599750_7 
Bin125ACT3: k141_3779622_6 
Bin125ACT4: k141_2300173_2 

Bin478ACT1: k141_571724_93 

Bin111ACT1: k141_1646794_25 
Bin111ACT2: k141_3446514_4 

Bin120ACT1: k141_939512_15 
Bin120ACT2: k141_674795_19 
Bin120ACT3: k141_4822537_20 
Bin120ACT4: k141_3283636_8 
